RegistryID,Category,SceneType,ContentType,Filename,Extension,SourcePath,FileSize,LineCount,CharCount,Preview,LastModified
START_MENU_SQL_NOTES,start_menu,UI_Scene,text,SQL Notes.txt,.txt,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\start_menu\SQL Notes.txt,2460,67,2393,SQL Notes,2026-06-29T17:20:33.597380
START_MENU_GAME_START_MENU,start_menu,UI_Scene,text,game_start_menu.txt,.txt,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\start_menu\game_start_menu.txt,50143,1272,48847,"I need to create a game start menu as a new React route for the app, so let me review the current project structure firs",2026-06-29T17:20:42.222805
BATTLE_ENCOUNTERS_BATTLE_SPACE_DRAFT02,battle_encounters,Battle_Lore,image,Battle_space (Draft02).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\Battle_space (Draft02).png,1489574,0,1489574,,2026-06-28T23:15:13.451810
BATTLE_ENCOUNTERS_BATTLE_SPACE,battle_encounters,Battle_Lore,image,Battle_space.png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\Battle_space.png,1471844,0,1471844,,2026-06-28T23:00:13.721378
BATTLE_ENCOUNTERS_CHATGPT_IMAGE_JUN_24_2026_01_13_57_AM,battle_encounters,Battle_Lore,image,"ChatGPT Image Jun 24, 2026, 01_13_57 AM.png",.png,"C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\ChatGPT Image Jun 24, 2026, 01_13_57 AM.png",3147799,0,3147799,,2026-06-23T23:13:58
BATTLE_ENCOUNTERS_CHATGPT_IMAGE_JUN_24_2026_01_24_03_AM,battle_encounters,Battle_Lore,image,"ChatGPT Image Jun 24, 2026, 01_24_03 AM.png",.png,"C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\ChatGPT Image Jun 24, 2026, 01_24_03 AM.png",2345293,0,2345293,,2026-06-23T23:24:02
BATTLE_ENCOUNTERS_CHATGPT_IMAGE_JUN_24_2026_01_27_33_AM,battle_encounters,Battle_Lore,image,"ChatGPT Image Jun 24, 2026, 01_27_33 AM.png",.png,"C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\ChatGPT Image Jun 24, 2026, 01_27_33 AM.png",2444372,0,2444372,,2026-06-23T23:27:34
BATTLE_ENCOUNTERS_CYBERPAUSEMENU_1,battle_encounters,Battle_Lore,image,CyberPauseMenu (1).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\CyberPauseMenu (1).png,7693045,0,7693045,,2026-06-25T21:09:42
BATTLE_ENCOUNTERS_CYBERPAUSEMENU_2,battle_encounters,Battle_Lore,image,CyberPauseMenu (2).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\CyberPauseMenu (2).png,7013381,0,7013381,,2026-06-25T21:14:46
BATTLE_ENCOUNTERS_CYBERPAUSEMENU_3,battle_encounters,Battle_Lore,image,CyberPauseMenu (3).png,.png,C:/Users/richa/Desktop/R3ALN3T_UE5\Main_Game_Files\game_txt_files\game_battle\CyberPauseMenu (3).png,6498838,0,6498838,,2026-06-25T21:19:24
