card_number,tier,rank,name,alignment,element,faction,hp,atk,rapid,charge,defense,move_1,move_2,move_3,move_4,move_5,move_6,move_7,move_8,move_9,flavor_text,construct_sprite,source_identities,color_pal
DEL-000000,DELTA,1,GaleMechanical DELX,Angelic,Wind,VOID CULT,3237,255,37,60,268,DIVINE.DRAFT.STRIKE,DIVINE.SQUALL.CATALYST,DIVINE.DRAFT.STRIKE,DIVINE.ZEPHYR.CHARGE,DIVINE.SQUALL.CATALYST,DIVINE.DRAFT.BIND,DIVINE.ZEPHYR.WARD,DIVINE.DRAFT.CHARGE,DIVINE.BREEZE.SHIELD,[DELTA] CSI=64,,NyxGen,wind
ZET-000001,ZETA,2,BlazeMechanical ZETX,Demonic,Fire,ROT CLUSTER,2356,143,26,27,117,DIVINE.CINDER.STRIKE,DIVINE.PYRE.STRIKE,DIVINE.BLAZE.BIND,DIVINE.FLARE.STRIKE,DIVINE.BLAZE.SHIELD,DIVINE.FLARE.RUSH,DIVINE.FLARE.BIND,DIVINE.CINDER.BIND,DIVINE.BLAZE.BOOST,[ZETA] CSI=42,,NyxGen,fire
KAP-000002,KAPPA,3,SeraMechanical KAPX,Angelic,Holy,IRON CORTEX,647,52,10,13,44,DIVINE.HALO.CHARGE,DIVINE.RADIANCE.SHIELD,DIVINE.LUMEN.DRAIN,DIVINE.HALO.CATALYST,DIVINE.SERA.CATALYST,DIVINE.HALO.BIND,DIVINE.SANCT.DRAIN,DIVINE.HALO.CHARGE,DIVINE.LUMEN.BIND,[KAPPA] CSI=27,,NyxGen,holy
BET-000003,BETA,4,BoltMechanical BETX,Viral,Elec,HALO CORE,6877,415,61,83,583,DIVINE.VOLT.RUSH,DIVINE.SPARK.WARD,DIVINE.VOLT.WARD,DIVINE.SPARK.BIND,DIVINE.SPARK.RUSH,DIVINE.VOLT.SHIELD,DIVINE.SURGE.CHARGE,DIVINE.ARC.RUSH,DIVINE.ARC.BIND,[BETA] CSI=82,,NyxGen,elec
XI-000004,XI,5,ArcMechanical XIX,Demonic,Elec,CORRUPTED SECTOR,128,12,6,5,10,DIVINE.ARC.SHIELD,DIVINE.ARC.BIND,DIVINE.ARC.SHIELD,DIVINE.VOLT.BOOST,DIVINE.BOLT.CHARGE,DIVINE.SURGE.DRAIN,DIVINE.SPARK.SHIELD,DIVINE.ARC.DRAIN,DIVINE.VOLT.CHARGE,[XI] CSI=9,,NyxGen,elec
NU-000005,NU,6,HaloMechanical NUX,Demonic,Holy,PHAGE CELL,204,17,7,8,24,DIVINE.RADIANCE.WARD,DIVINE.LUMEN.CHARGE,DIVINE.SANCT.CHARGE,DIVINE.HALO.CHARGE,DIVINE.LUMEN.BIND,DIVINE.SANCT.BIND,DIVINE.SANCT.STRIKE,DIVINE.RADIANCE.WARD,DIVINE.LUMEN.WARD,[NU] CSI=15,,NyxGen,holy
ALP-000006,ALPHA,7,MistMechanical ALPX,Viral,Aqua,INFECTION VECTOR,8297,596,95,78,552,DIVINE.SURGE.BOOST,DIVINE.RIPPLE.SHIELD,DIVINE.MIST.BIND,DIVINE.TIDE.STRIKE,DIVINE.TORRENT.WARD,DIVINE.SURGE.DRAIN,DIVINE.MIST.SHIELD,DIVINE.MIST.WARD,DIVINE.MIST.DRAIN,[ALPHA] CSI=84,,NyxGen,aqua
KAP-000007,KAPPA,8,BarkMechanical KAPX,Mechanical,Wood,PHAGE CELL,370,40,14,13,46,DIVINE.THORN.RUSH,DIVINE.ROOT.BIND,DIVINE.BARK.BOOST,DIVINE.THORN.STRIKE,DIVINE.THORN.STRIKE,DIVINE.THORN.SHIELD,DIVINE.BARK.DRAIN,DIVINE.VINE.CATALYST,DIVINE.ROOT.BOOST,[KAPPA] CSI=29,,NyxGen,wood
GAM-000008,GAMMA,9,UmbralMechanical GAMX,Angelic,Void,INFECTION VECTOR,4107,445,50,67,448,DIVINE.ABYSS.BOOST,DIVINE.NULL.CATALYST,DIVINE.NULL.SHIELD,DIVINE.RIFT.CATALYST,DIVINE.UMBRAL.BIND,DIVINE.NULL.CHARGE,DIVINE.ABYSS.RUSH,DIVINE.ABYSS.RUSH,DIVINE.NULL.WARD,[GAMMA] CSI=68,,NyxGen,void
NU-000009,NU,10,SquallMechanical NUX,Viral,Wind,HALO CORE,136,14,5,8,19,DIVINE.BREEZE.CHARGE,DIVINE.ZEPHYR.BOOST,DIVINE.ZEPHYR.CATALYST,DIVINE.BREEZE.SHIELD,DIVINE.ZEPHYR.SHIELD,DIVINE.SQUALL.DRAIN,DIVINE.BREEZE.SHIELD,DIVINE.ZEPHYR.STRIKE,DIVINE.DRAFT.RUSH,[NU] CSI=10,,NyxGen,wind
